FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.231323132,0.768792987,0.731414855,0.807565808
0.232110711,0.769456029,0.731414855,0.807624102
0.232898290,0.769456029,0.731414855,0.807624102
0.233685869,0.769994259,0.731686532,0.808528423
0.234473447,0.770578265,0.733108103,0.809443533
0.235261026,0.770578265,0.733108103,0.809443533
0.236048605,0.771122932,0.733389378,0.809443533
0.236836184,0.771711528,0.734761119,0.810286701
0.237623762,0.772227168,0.735833347,0.810286701
0.238411341,0.772227168,0.735833347,0.810286701
0.239198920,0.772806644,0.736040592,0.810945272
0.239986499,0.773371696,0.737552762,0.811384857
0.240774077,0.773371696,0.737552762,0.811384857
0.241561656,0.773941040,0.738056004,0.811461806
0.242349235,0.774482548,0.738075316,0.812126398
0.243136814,0.774482548,0.738075316,0.812126398
0.243924392,0.775066137,0.739130437,0.812709033
0.244711971,0.775676787,0.740303516,0.812993824
0.245499550,0.776181579,0.740928292,0.813632429
0.246287129,0.776181579,0.740928292,0.813632429
0.247074707,0.776767552,0.740994871,0.814332247
0.247862286,0.777350605,0.742616057,0.814967096
0.248649865,0.777350605,0.742616057,0.814967096
0.249437444,0.777902007,0.742759824,0.815358043
0.250225023,0.778536618,0.743527532,0.815789461
0.251012601,0.778536618,0.743527532,0.815789461
0.251800180,0.779080272,0.744303823,0.816220880
0.252587759,0.779619753,0.744537830,0.816416621
0.253375338,0.779619753,0.744537830,0.816416621
0.254162916,0.780150890,0.744537830,0.817567587
0.254950495,0.780676901,0.745180190,0.817567587
0.255738074,0.781134367,0.745315135,0.817810476
0.256525653,0.781134367,0.745315135,0.817810476
0.257313231,0.781656504,0.746166945,0.817810476
0.258100810,0.782201588,0.746231139,0.818342149
0.258888389,0.782201588,0.746231139,0.818342149
0.259675968,0.782657266,0.747181952,0.819237173
0.260463546,0.783191800,0.747899175,0.820105791
0.261251125,0.783191800,0.747899175,0.820105791
0.262038704,0.783765972,0.747899175,0.820261419
0.262826283,0.784264624,0.747899175,0.820284724
0.263613861,0.784713507,0.747899175,0.820960701
0.264401440,0.784713507,0.747899175,0.820960701
0.265189019,0.785283446,0.748886883,0.820987642
0.265976598,0.785778582,0.749777377,0.822006464
0.266764176,0.785778582,0.749777377,0.822006464
0.267551755,0.786298513,0.750220656,0.822006464
0.268339334,0.786753535,0.750220656,0.822260559
0.269126913,0.786753535,0.750220656,0.822260559
0.269914491,0.787243426,0.751398861,0.822260559
0.270702070,0.787752450,0.751398861,0.822815537
0.271489649,0.788208723,0.751924694,0.823083401
0.272277228,0.788208723,0.751924694,0.823083401
0.273064806,0.788696051,0.752981246,0.824185252
0.273852385,0.789166570,0.753174603,0.824691355
0.274639964,0.789166570,0.753174603,0.824691355
0.275427543,0.789686620,0.753913045,0.825396836
0.276215122,0.790194929,0.753935397,0.825396836
0.277002700,0.790194929,0.753935397,0.825396836
0.277790279,0.790654242,0.753935397,0.825479925
0.278577858,0.791198730,0.753935397,0.825842679
0.279365437,0.791630507,0.754811704,0.826655030
0.280153015,0.791630507,0.754811704,0.826655030
0.280940594,0.792099178,0.755652189,0.826655030
0.281728173,0.792577565,0.756234944,0.827129841
0.282515752,0.792577565,0.756234944,0.827129841
0.283303330,0.793026388,0.756432235,0.827129841
0.284090909,0.793463051,0.757793784,0.827225149
0.284878488,0.793463051,0.757793784,0.827225149
0.285666067,0.793937147,0.758077860,0.828097761
0.286453645,0.794386208,0.758706450,0.828856468
0.287241224,0.794783354,0.760620892,0.828993082
0.288028803,0.794783354,0.760620892,0.828993082
0.288816382,0.795193017,0.761544943,0.829103231
0.289603960,0.795608997,0.762343109,0.829103231
0.290391539,0.795608997,0.762343109,0.829103231
0.291179118,0.796117008,0.762343109,0.829484880
0.291966697,0.796521842,0.763180614,0.829925656
0.292754275,0.796521842,0.763180614,0.829925656
