FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.213996400,0.761331916,0.717801452,0.801724136
0.214783978,0.761331916,0.717801452,0.801724136
0.215571557,0.761911035,0.717801452,0.801724136
0.216359136,0.762527347,0.717905402,0.802325606
0.217146715,0.762527347,0.717905402,0.802325606
0.217934293,0.763114393,0.718724430,0.802325606
0.218721872,0.763725877,0.720291018,0.802531660
0.219509451,0.763725877,0.720291018,0.802531660
0.220297030,0.764312387,0.720439196,0.805020928
0.221084608,0.764849007,0.720698237,0.805128217
0.221872187,0.765483022,0.721186459,0.805957437
0.222659766,0.765483022,0.721186459,0.805957437
0.223447345,0.766039789,0.721608818,0.806034505
0.224234923,0.766686499,0.723404229,0.806837618
0.225022502,0.766686499,0.723404229,0.806837618
0.225810081,0.767331064,0.723776221,0.806837618
0.226597660,0.767863929,0.723974764,0.807002544
0.227385239,0.767863929,0.723974764,0.807002544
0.228172817,0.768482447,0.725000024,0.807796896
0.228960396,0.769083738,0.725141466,0.808170497
0.229747975,0.769689620,0.725949883,0.808510661
0.230535554,0.769689620,0.725949883,0.808510661
0.231323132,0.770242095,0.726004899,0.809361696
0.232110711,0.770799458,0.726758301,0.809481978
0.232898290,0.770799458,0.726758301,0.809481978
0.233685869,0.771451652,0.728499174,0.810045660
0.234473447,0.772023082,0.728885114,0.810212791
0.235261026,0.772023082,0.728885114,0.810212791
0.236048605,0.772574365,0.729570329,0.811468303
0.236836184,0.773206234,0.730574310,0.811814368
0.237623762,0.773780048,0.730926991,0.811814368
0.238411341,0.773780048,0.730926991,0.811814368
0.239198920,0.774263978,0.731182814,0.813698649
0.239986499,0.774807394,0.731418908,0.813698649
0.240774077,0.774807394,0.731418908,0.813698649
0.241561656,0.775388062,0.731608748,0.813741744
0.242349235,0.775951147,0.732069254,0.815319121
0.243136814,0.775951147,0.732069254,0.815319121
0.243924392,0.776510119,0.733391583,0.815397322
0.244711971,0.777043521,0.733930051,0.815397322
0.245499550,0.777567208,0.734520793,0.816101670
0.246287129,0.777567208,0.734520793,0.816101670
0.247074707,0.778106093,0.735392332,0.816242814
0.247862286,0.778618038,0.735392332,0.816736400
0.248649865,0.778618038,0.735392332,0.816736400
0.249437444,0.779145300,0.735392332,0.816736400
0.250225023,0.779660821,0.737774014,0.816736400
0.251012601,0.779660821,0.737774014,0.816736400
