FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.162803780,0.691356421,0.653149247,0.729933083
0.163591359,0.692147970,0.654044747,0.730257332
0.164378938,0.692147970,0.654044747,0.730257332
0.165166517,0.692912996,0.654615402,0.730769217
0.165954095,0.693674743,0.655723155,0.732647836
0.166741674,0.694330037,0.656066954,0.732647836
0.167529253,0.694330037,0.656066954,0.732647836
0.168316832,0.695113122,0.656871200,0.733913064
0.169104410,0.695862174,0.657336712,0.735116482
0.169891989,0.695862174,0.657336712,0.735116482
0.170679568,0.696727335,0.658536613,0.736099601
0.171467147,0.697420061,0.659196317,0.736468494
0.172254725,0.697420061,0.659196317,0.736468494
0.173042304,0.698168695,0.659230769,0.737747192
0.173829883,0.698845804,0.660000026,0.738255024
0.174617462,0.699593604,0.660000026,0.738636374
0.175405041,0.699593604,0.660000026,0.738636374
0.176192619,0.700262666,0.661357939,0.739130437
0.176980198,0.701004148,0.661628902,0.740248978
0.177767777,0.701004148,0.661628902,0.740248978
0.178555356,0.701751947,0.664055705,0.740901232
0.179342934,0.702535450,0.664615393,0.741908729
0.180130513,0.702535450,0.664615393,0.741908729
0.180918092,0.703254819,0.665496051,0.743455470
0.181705671,0.703988552,0.665549040,0.743718565
0.182493249,0.704834878,0.665853679,0.745217383
0.183280828,0.704834878,0.665853679,0.745217383
0.184068407,0.705539167,0.667481661,0.746350348
0.184855986,0.706288576,0.668081522,0.746824741
0.185643564,0.706288576,0.668081522,0.746824741
0.186431143,0.706970155,0.668901920,0.747413814
0.187218722,0.707751930,0.669724762,0.748275876
0.188006301,0.707751930,0.669724762,0.748275876
0.188793879,0.708492219,0.670578361,0.749360621
0.189581458,0.709219217,0.671544731,0.749785066
0.190369037,0.709951401,0.672268927,0.749785781
0.191156616,0.709951401,0.672268927,0.749785781
0.191944194,0.710674047,0.672268927,0.751304328
0.192731773,0.711567342,0.672371626,0.751504719
0.193519352,0.711567342,0.672371626,0.751504719
0.194306931,0.712283075,0.673894942,0.751760542
0.195094509,0.713062823,0.675631642,0.752529919
0.195882088,0.713062823,0.675631642,0.752529919
0.196669667,0.713812172,0.675632894,0.753138065
0.197457246,0.714576900,0.676641703,0.753858626
0.198244824,0.715317547,0.677137852,0.754244864
0.199032403,0.715317547,0.677137852,0.754244864
0.199819982,0.715967417,0.677280545,0.755138516
0.200607561,0.716721296,0.677419364,0.756454408
0.201395140,0.716721296,0.677419364,0.756454408
0.202182718,0.717509925,0.678601146,0.756849289
0.202970297,0.718316913,0.679401994,0.757525086
0.203757876,0.718316913,0.679401994,0.757525086
0.204545455,0.719112456,0.680487812,0.758175552
0.205333033,0.719812095,0.680851042,0.759197295
0.206120612,0.720540047,0.681607425,0.759896755
0.206908191,0.720540047,0.681607425,0.759896755
0.207695770,0.721263587,0.682182968,0.761061966
0.208483348,0.722021997,0.682947755,0.761313200
0.209270927,0.722021997,0.682947755,0.761313200
0.210058506,0.722742200,0.683153033,0.762287736
0.210846085,0.723424435,0.683673441,0.762652695
0.211633663,0.723424435,0.683673441,0.762652695
0.212421242,0.724173605,0.684828162,0.763679624
0.213208821,0.724869013,0.685200334,0.764298081
0.213996400,0.725651562,0.687282205,0.765486717
0.214783978,0.725651562,0.687282205,0.765486717
0.215571557,0.726368666,0.687282205,0.765805900
0.216359136,0.727161765,0.687804878,0.766393423
0.217146715,0.727161765,0.687804878,0.766393423
0.217934293,0.727824450,0.688562572,0.766696334
0.218721872,0.728517950,0.689024389,0.767441869
0.219509451,0.728517950,0.689024389,0.767441869
0.220297030,0.729220927,0.689895451,0.767586827
0.221084608,0.729989707,0.690243900,0.768032789
0.221872187,0.730651855,0.692373633,0.768630862
0.222659766,0.730651855,0.692373633,0.768630862
0.223447345,0.731314778,0.692756057,0.769230783
0.224234923,0.731926978,0.692776322,0.770258248
0.225022502,0.731926978,0.692776322,0.770258248
0.225810081,0.732588649,0.694048643,0.771062255
0.226597660,0.733226180,0.694048643,0.771208227
0.227385239,0.733226180,0.694048643,0.771208227
0.228172817,0.733938813,0.695141077,0.771548092
0.228960396,0.734613180,0.695725083,0.771701396
0.229747975,0.735285997,0.697127938,0.772173941
0.230535554,0.735285997,0.697127938,0.772173941
0.231323132,0.735971391,0.697127938,0.772173941
0.232110711,0.736638069,0.698606253,0.772343993
0.232898290,0.736638069,0.698606253,0.772343993
0.233685869,0.737261295,0.699381769,0.772810221
0.234473447,0.737931788,0.701219499,0.773343980
0.235261026,0.737931788,0.701219499,0.773343980
0.236048605,0.738464594,0.701219499,0.773820102
0.236836184,0.739101470,0.701372087,0.774223030
0.237623762,0.739654481,0.701700151,0.774223030
0.238411341,0.739654481,0.701700151,0.774223030
0.239198920,0.740293443,0.702986300,0.775221229
0.239986499,0.740793109,0.704126418,0.776041687
0.240774077,0.740793109,0.704126418,0.776041687
0.241561656,0.741302133,0.704658926,0.776106179
0.242349235,0.741877675,0.704904377,0.776349604
0.243136814,0.741877675,0.704904377,0.776349604
0.243924392,0.742427170,0.704904377,0.776459873
0.244711971,0.742939472,0.706621945,0.776845634
0.245499550,0.743468642,0.706621945,0.777280867
0.246287129,0.743468642,0.706621945,0.777280867
0.247074707,0.743954837,0.708188176,0.777876079
0.247862286,0.744441271,0.708265781,0.777876079
0.248649865,0.744441271,0.708265781,0.777876079
0.249437444,0.744902968,0.708860755,0.778523505
0.250225023,0.745422959,0.711131573,0.778846145
0.251012601,0.745422959,0.711131573,0.778846145
0.251800180,0.745900273,0.711250961,0.778846145
0.252587759,0.746402442,0.712059081,0.779119909
0.253375338,0.746402442,0.712059081,0.779119909
0.254162916,0.746891379,0.713611305,0.779130459
0.254950495,0.747268319,0.713611305,0.779761910
0.255738074,0.747677267,0.713942289,0.779761910
0.256525653,0.747677267,0.713942289,0.779761910
0.257313231,0.748105109,0.714636147,0.780035317
0.258100810,0.748496592,0.714636147,0.780035317
0.258888389,0.748496592,0.714636147,0.780035317
0.259675968,0.748910427,0.715116262,0.780530989
0.260463546,0.749318838,0.716029286,0.780612230
0.261251125,0.749318838,0.716029286,0.780612230
